iter	Passed	Remaining
457	811	960
458	813	958
459	815	956
460	816	954
461	817	952
462	818	949
463	820	947
464	821	944
465	822	942
466	823	940
467	824	937
468	826	935
469	830	936
470	831	933
471	832	931
472	833	929
473	834	926
474	836	924
475	837	921
476	838	919
477	839	916
478	840	914
479	842	912
480	843	910
481	845	908
482	846	906
483	847	903
484	848	901
485	850	899
486	851	896
487	852	894
488	853	892
489	854	889
490	856	887
491	859	887
492	861	885
493	862	883
494	863	881
495	865	879
496	866	876
497	867	874
498	868	872
499	869	869
500	871	867
501	874	867
502	876	865
503	877	863
504	879	861
505	880	859
506	881	857
507	882	854
508	883	852
509	885	850
510	886	848
511	887	846
512	889	844
513	891	842
514	892	840
515	893	838
516	894	835
517	896	833
518	897	831
519	898	829
520	899	827
521	901	825
522	904	824
523	905	822
524	907	820
525	908	818
526	909	816
527	910	814
528	911	811
529	912	809
530	914	807
531	915	805
532	916	802
533	919	802
534	920	799
535	921	797
536	922	795
537	924	793
538	925	791
539	926	789
540	927	787
541	928	784
542	930	782
543	931	780
544	935	780
545	936	778
546	937	776
547	939	774
548	940	772
549	941	770
550	943	768
551	944	766
552	945	764
553	946	762
554	950	761
555	951	760
556	953	758
557	954	756
558	955	753
559	956	751
560	958	749
561	959	747
562	960	745
563	961	743
564	975	750
565	976	748
566	977	746
567	979	744
568	982	744
569	983	742
570	984	739
571	986	737
572	987	735
573	988	733
574	989	731
575	990	729
576	992	727
577	993	725
578	997	725
579	998	723
580	999	721
581	1001	719
582	1002	716
583	1003	714
584	1004	712
585	1005	710
586	1007	708
587	1008	706
588	1010	705
589	1012	703
590	1013	701
591	1014	699
592	1015	696
593	1016	694
594	1017	692
595	1019	690
596	1020	688
597	1021	686
598	1022	684
599	1024	682
600	1027	681
601	1028	679
602	1029	677
603	1030	675
604	1031	673
605	1033	671
606	1035	670
607	1036	668
608	1038	666
609	1041	665
610	1042	664
611	1044	662
612	1046	660
613	1048	658
614	1050	657
615	1051	655
616	1053	653
617	1059	655
618	1061	653
619	1063	651
620	1066	651
621	1073	652
622	1076	651
623	1078	649
624	1080	648
625	1081	646
626	1084	645
627	1087	644
628	1089	642
629	1092	641
630	1096	640
631	1097	639
632	1099	637
633	1104	637
634	1106	636
635	1108	634
636	1110	632
637	1112	631
638	1114	629
639	1115	627
640	1119	626
641	1121	625
642	1123	623
643	1125	622
644	1127	620
645	1128	618
646	1131	617
647	1135	616
648	1137	615
649	1138	613
650	1140	611
651	1141	609
652	1143	607
653	1144	605
654	1145	603
655	1150	603
656	1151	601
657	1153	599
658	1155	597
659	1156	595
660	1158	594
661	1160	592
662	1161	590
663	1164	589
664	1167	587
665	1168	586
666	1171	584
667	1172	582
668	1174	581
669	1176	579
670	1181	579
671	1183	577
672	1184	575
673	1186	573
674	1187	571
675	1188	569
676	1189	567
677	1191	565
678	1192	563
679	1197	563
680	1199	561
681	1201	560
682	1202	558
683	1204	556
684	1205	554
685	1206	552
686	1207	550
687	1210	548
688	1211	546
689	1213	545
690	1214	543
691	1216	541
692	1218	539
693	1219	537
694	1221	536
695	1222	534
696	1227	533
697	1229	531
698	1230	530
699	1232	528
700	1233	526
701	1235	524
702	1236	522
703	1237	520
704	1241	519
705	1243	517
706	1245	516
707	1246	514
708	1247	512
709	1249	510
710	1250	508
711	1251	506
712	1253	504
713	1255	502
714	1256	500
715	1257	498
716	1259	496
717	1260	494
718	1261	493
719	1262	491
720	1264	489
721	1265	487
722	1266	485
723	1267	483
724	1270	482
725	1272	480
726	1273	478
727	1275	476
728	1276	474
729	1277	472
730	1278	470
731	1279	468
732	1281	466
733	1282	464
734	1283	462
735	1285	461
736	1286	459
737	1288	457
738	1289	455
739	1290	453
740	1291	451
741	1292	449
742	1294	447
743	1295	445
744	1296	443
745	1297	441
746	1301	440
747	1302	438
748	1303	436
749	1305	435
750	1306	433
751	1307	431
752	1308	429
753	1310	427
754	1311	425
755	1312	423
756	1313	421
757	1318	420
758	1319	418
759	1320	417
760	1321	415
761	1323	413
762	1324	411
763	1325	409
764	1326	407
765	1328	405
766	1329	403
767	1330	402
768	1332	400
769	1333	398
770	1334	396
771	1336	394
772	1337	392
773	1338	390
774	1340	389
775	1341	387
776	1343	385
777	1348	384
778	1349	382
779	1351	381
780	1352	379
781	1353	377
782	1354	375
783	1356	373
784	1357	371
785	1358	369
786	1360	368
787	1362	366
788	1363	364
789	1365	362
790	1366	361
791	1367	359
792	1369	357
793	1370	355
794	1371	353
795	1373	351
796	1375	350
797	1377	348
798	1378	346
799	1379	344
800	1381	343
801	1382	341
802	1383	339
803	1385	337
804	1387	336
805	1392	335
806	1393	333
807	1395	331
808	1396	329
809	1397	327
810	1398	326
811	1400	324
812	1401	322
813	1402	320
814	1404	318
815	1406	317
816	1407	315
817	1408	313
818	1410	311
819	1411	309
820	1412	308
821	1413	306
822	1415	304
823	1416	302
824	1417	300
825	1420	299
826	1422	297
827	1423	295
828	1425	293
829	1426	292
830	1427	290
831	1429	288
832	1430	286
833	1431	284
834	1433	283
835	1438	282
836	1439	280
837	1441	278
838	1442	276
839	1443	275
840	1445	273
841	1446	271
842	1447	269
843	1450	268
844	1451	266
845	1453	264
846	1454	262
847	1455	260
848	1457	259
849	1459	257
850	1460	255
851	1461	253
852	1462	252
853	1467	250
854	1468	249
855	1469	247
856	1471	245
857	1472	243
858	1473	241
859	1475	240
860	1476	238
861	1477	236
862	1478	234
863	1483	233
864	1484	231
865	1485	229
866	1487	228
867	1488	226
868	1489	224
869	1490	222
870	1492	221
871	1493	219
872	1496	217
873	1498	216
874	1499	214
875	1501	212
876	1502	210
877	1503	208
878	1504	207
879	1506	205
880	1507	203
881	1508	201
882	1512	200
883	1514	198
884	1515	196
885	1516	195
886	1517	193
887	1519	191
888	1520	189
889	1521	188
890	1522	186
891	1524	184
892	1526	182
893	1527	181
894	1528	179
895	1530	177
896	1531	175
897	1532	174
898	1533	172
899	1535	170
900	1536	168
901	1537	167
902	1538	165
903	1542	163
904	1544	162
905	1545	160
906	1547	158
907	1548	156
908	1549	155
909	1550	153
910	1551	151
911	1552	149
912	1554	148
913	1557	146
914	1559	144
915	1560	143
916	1561	141
917	1563	139
918	1564	137
919	1565	136
920	1566	134
921	1567	132
922	1569	130
923	1571	129
924	1573	127
925	1574	125
926	1575	124
927	1577	122
928	1578	120
929	1579	118
930	1581	117
931	1582	115
932	1583	113
933	1588	112
934	1589	110
935	1590	108
936	1592	107
937	1593	105
938	1594	103
939	1596	101
940	1597	100
941	1598	98
942	1599	96
943	1604	95
944	1605	93
945	1607	91
946	1608	90
947	1609	88
948	1611	86
949	1612	84
950	1613	83
951	1615	81
952	1616	79
953	1618	78
954	1619	76
955	1621	74
956	1622	72
957	1623	71
958	1624	69
959	1625	67
960	1627	66
961	1628	64
962	1629	62
963	1633	61
964	1635	59
965	1636	57
966	1637	55
967	1638	54
968	1640	52
